"","states","year","statesAbbr","disease","datatype","deathpop","class","population","ratio"
"25","California",2010,"CA","Cerebrovascular disease","Nmbr",7890,"Female",18998566.12152,0.0415294499044476
"26","Colorado",2010,"CO","Chronic obstructive pulmonary disease","Nmbr",1840,"Female",2568955.49552,0.0716244404859786
"27","Colorado",2010,"CO","Coronary heart disease","Nmbr",1471,"Female",2568955.49552,0.0572606260624318
"28","Colorado",2010,"CO","Cardiovascular disease","Nmbr",4240,"Female",2568955.49552,0.165047623728559
"29","Colorado",2010,"CO","Heart failure","Nmbr",1848,"Female",2568955.49552,0.0719358510967872
"30","Colorado",2010,"CO","Cerebrovascular disease","Nmbr",1009,"Female",2568955.49552,0.039276663288235
"31","Connecticut",2010,"CT","Coronary heart disease","Nmbr",1985,"Female",1821646.38696,0.108967361295219
"32","Connecticut",2010,"CT","Cardiovascular disease","Nmbr",4950,"Female",1821646.38696,0.271732210786565
"33","Connecticut",2010,"CT","Cerebrovascular disease","Nmbr",864,"Female",1821646.38696,0.0474296222463823
"34","Connecticut",2010,"CT","Heart failure","Nmbr",1935,"Female",1821646.38696,0.106222591489294
"35","Connecticut",2010,"CT","Chronic obstructive pulmonary disease","Nmbr",1382,"Female",1821646.38696,0.0758654374357643
"36","Delaware",2010,"DE","Coronary heart disease","Nmbr",530,"Female",457885.64408,0.115749424960657
"37","Delaware",2010,"DE","Chronic obstructive pulmonary disease","Nmbr",441,"Female",457885.64408,0.0963122573729239
"38","Delaware",2010,"DE","Heart failure","Nmbr",387,"Female",457885.64408,0.084518919735423
"39","Delaware",2010,"DE","Cardiovascular disease","Nmbr",1173,"Female",457885.64408,0.256177500903492
"40","Delaware",2010,"DE","Cerebrovascular disease","Nmbr",231,"Female",457885.64408,0.0504492776715316
"41","District of Columbia",2010,"DC","Cardiovascular disease","Nmbr",856,"Female",307936.51888,0.277979371564428
"42","District of Columbia",2010,"DC","Coronary heart disease","Nmbr",453,"Female",307936.51888,0.147108242194726
"43","District of Columbia",2010,"DC","Chronic obstructive pulmonary disease","Nmbr",155,"Female",307936.51888,0.0503350497575775
"44","District of Columbia",2010,"DC","Cerebrovascular disease","Nmbr",123,"Female",307936.51888,0.0399432975495615
"45","District of Columbia",2010,"DC","Heart failure","Nmbr",186,"Female",307936.51888,0.060402059709093
"46","Florida",2010,"FL","Heart failure","Nmbr",7174,"Female",9592332.0232,0.0747889041230951
"47","Florida",2010,"FL","Cardiovascular disease","Nmbr",26052,"Female",9592332.0232,0.271591933400456
"48","Florida",2010,"FL","Cerebrovascular disease","Nmbr",4875,"Female",9592332.0232,0.0508218438249357
"49","Florida",2010,"FL","Coronary heart disease","Nmbr",12679,"Female",9592332.0232,0.132178493919253
"50","Florida",2010,"FL","Chronic obstructive pulmonary disease","Nmbr",8920,"Female",9592332.0232,0.092990942957626
"51","Georgia",2010,"GA","Cardiovascular disease","Nmbr",10864,"Female",4942982.47152,0.219786334719881
"52","Georgia",2010,"GA","Chronic obstructive pulmonary disease","Nmbr",3084,"Female",4942982.47152,0.0623914816159898
"53","Georgia",2010,"GA","Heart failure","Nmbr",3811,"Female",4942982.47152,0.077099201179811
"54","Georgia",2010,"GA","Cerebrovascular disease","Nmbr",2214,"Female",4942982.47152,0.0447907718215958
"55","Georgia",2010,"GA","Coronary heart disease","Nmbr",3232,"Female",4942982.47152,0.0653856253511281
"56","Hawaii",2010,"HI","Heart failure","Nmbr",423,"Female",694102.1424,0.0609420392418601
"57","Hawaii",2010,"HI","Coronary heart disease","Nmbr",412,"Female",694102.1424,0.0593572580795423
"58","Hawaii",2010,"HI","Cardiovascular disease","Nmbr",1351,"Female",694102.1424,0.194639940935586
"59","Hawaii",2010,"HI","Chronic obstructive pulmonary disease","Nmbr",218,"Female",694102.1424,0.0314074812168452
"60","Hawaii",2010,"HI","Cerebrovascular disease","Nmbr",322,"Female",694102.1424,0.0463908667514869
"61","Idaho",2010,"ID","Cerebrovascular disease","Nmbr",388,"Female",799443.35568,0.0485337700592896
"62","Idaho",2010,"ID","Cardiovascular disease","Nmbr",1662,"Female",799443.35568,0.20789465422304
"63","Idaho",2010,"ID","Heart failure","Nmbr",768,"Female",799443.35568,0.096066843828697
"64","Idaho",2010,"ID","Chronic obstructive pulmonary disease","Nmbr",611,"Female",799443.35568,0.0764281791397576
"65","Idaho",2010,"ID","Coronary heart disease","Nmbr",578,"Female",799443.35568,0.0723003069439933
"66","Illinois",2010,"IL","Coronary heart disease","Nmbr",6999,"Female",6534654.79112,0.10710588736089
"67","Illinois",2010,"IL","Cardiovascular disease","Nmbr",16615,"Female",6534654.79112,0.254259796899727
"68","Illinois",2010,"IL","Chronic obstructive pulmonary disease","Nmbr",4837,"Female",6534654.79112,0.0740207425581691
"69","Illinois",2010,"IL","Heart failure","Nmbr",6358,"Female",6534654.79112,0.0972966469267809
"70","Illinois",2010,"IL","Cerebrovascular disease","Nmbr",3230,"Female",6534654.79112,0.0494287778505037
"71","Indiana",2010,"IN","Chronic obstructive pulmonary disease","Nmbr",3272,"Female",3302931.4392,0.0990635155537018
"72","Indiana",2010,"IN","Cerebrovascular disease","Nmbr",1856,"Female",3302931.4392,0.0561925076001438
"73","Indiana",2010,"IN","Coronary heart disease","Nmbr",3680,"Female",3302931.4392,0.111416178862354
"74","Indiana",2010,"IN","Cardiovascular disease","Nmbr",9168,"Female",3302931.4392,0.277571610817952
"75","Indiana",2010,"IN","Heart failure","Nmbr",3759,"Female",3302931.4392,0.113807993571628
"76","Iowa",2010,"IA","Heart failure","Nmbr",1824,"Female",1552437.16272,0.117492678209545
"77","Iowa",2010,"IA","Coronary heart disease","Nmbr",2324,"Female",1552437.16272,0.149700100964354
"78","Iowa",2010,"IA","Cerebrovascular disease","Nmbr",936,"Female",1552437.16272,0.0602922953970034
"79","Iowa",2010,"IA","Chronic obstructive pulmonary disease","Nmbr",1455,"Female",1552437.16272,0.0937236002164956
"80","Iowa",2010,"IA","Cardiovascular disease","Nmbr",4782,"Female",1552437.16272,0.308031791226998
"81","Kansas",2010,"KS","Coronary heart disease","Nmbr",1337,"Female",1454798.35712,0.0919027708174485
"82","Kansas",2010,"KS","Chronic obstructive pulmonary disease","Nmbr",1214,"Female",1454798.35712,0.0834479908544372
"83","Kansas",2010,"KS","Cardiovascular disease","Nmbr",3902,"Female",1454798.35712,0.268215865168051
"84","Kansas",2010,"KS","Cerebrovascular disease","Nmbr",817,"Female",1454798.35712,0.0561589856079697
"85","Kansas",2010,"KS","Heart failure","Nmbr",1764,"Female",1454798.35712,0.121253917518309
"86","Kentucky",2010,"KY","Chronic obstructive pulmonary disease","Nmbr",2664,"Female",2212578.18056,0.120402525135891
"87","Kentucky",2010,"KY","Coronary heart disease","Nmbr",2455,"Female",2212578.18056,0.110956531234464
"88","Kentucky",2010,"KY","Cerebrovascular disease","Nmbr",1183,"Female",2212578.18056,0.0534670372506604
"89","Kentucky",2010,"KY","Cardiovascular disease","Nmbr",6217,"Female",2212578.18056,0.280984421460149
"90","Kentucky",2010,"KY","Heart failure","Nmbr",2687,"Female",2212578.18056,0.121442036426479
"91","Louisiana",2010,"LA","Heart failure","Nmbr",2265,"Female",2312834.66488,0.0979317732648009
"92","Louisiana",2010,"LA","Cardiovascular disease","Nmbr",6521,"Female",2312834.66488,0.281948385633451
"93","Louisiana",2010,"LA","Chronic obstructive pulmonary disease","Nmbr",1531,"Female",2312834.66488,0.066195825548967
"94","Louisiana",2010,"LA","Coronary heart disease","Nmbr",2437,"Female",2312834.66488,0.105368534854887
"95","Louisiana",2010,"LA","Cerebrovascular disease","Nmbr",1139,"Female",2312834.66488,0.0492469270413281
"96","Maine",2010,"ME","Heart failure","Nmbr",780,"Female",675637.4316,0.115446534416078
"97","Maine",2010,"ME","Coronary heart disease","Nmbr",716,"Female",675637.4316,0.105973998258861
"98","Maine",2010,"ME","Cardiovascular disease","Nmbr",1740,"Female",675637.4316,0.257534576774328
"99","Maine",2010,"ME","Chronic obstructive pulmonary disease","Nmbr",696,"Female",675637.4316,0.103013830709731
"100","Maine",2010,"ME","Cerebrovascular disease","Nmbr",359,"Female",675637.4316,0.0531350075068872
"101","Maryland",2010,"MD","Heart failure","Nmbr",1913,"Female",2945605.57192,0.064944200888141
"102","Maryland",2010,"MD","Cerebrovascular disease","Nmbr",1391,"Female",2945605.57192,0.0472228873159457
"103","Maryland",2010,"MD","Chronic obstructive pulmonary disease","Nmbr",2134,"Female",2945605.57192,0.0724469026112352
"104","Maryland",2010,"MD","Coronary heart disease","Nmbr",3571,"Female",2945605.57192,0.121231438249635
"105","Maryland",2010,"MD","Cardiovascular disease","Nmbr",7417,"Female",2945605.57192,0.251798817557419
"106","Massachusetts",2010,"MA","Chronic obstructive pulmonary disease","Nmbr",2281,"Female",3340815.51968,0.0682767422074981
"107","Massachusetts",2010,"MA","Cardiovascular disease","Nmbr",8335,"Female",3340815.51968,0.249489980841515
"108","Massachusetts",2010,"MA","Heart failure","Nmbr",3524,"Female",3340815.51968,0.105483226452969
"109","Massachusetts",2010,"MA","Cerebrovascular disease","Nmbr",1567,"Female",3340815.51968,0.0469047150544276
"110","Massachusetts",2010,"MA","Coronary heart disease","Nmbr",3432,"Female",3340815.51968,0.102729407828204
"111","Michigan",2010,"MI","Heart failure","Nmbr",6109,"Female",5026395.53672,0.121538385814867
"112","Michigan",2010,"MI","Cerebrovascular disease","Nmbr",2685,"Female",5026395.53672,0.0534180006405168
"113","Michigan",2010,"MI","Cardiovascular disease","Nmbr",15431,"Female",5026395.53672,0.306999317647604
"114","Michigan",2010,"MI","Coronary heart disease","Nmbr",7160,"Female",5026395.53672,0.142448001708045
"115","Michigan",2010,"MI","Chronic obstructive pulmonary disease","Nmbr",4846,"Female",5026395.53672,0.096411035792903
"116","Minnesota",2010,"MN","Chronic obstructive pulmonary disease","Nmbr",1919,"Female",2702612.31864,0.0710053745690641
"117","Minnesota",2010,"MN","Heart failure","Nmbr",2851,"Female",2702612.31864,0.105490527825118
"118","Minnesota",2010,"MN","Cardiovascular disease","Nmbr",5262,"Female",2702612.31864,0.194700511194588
"119","Minnesota",2010,"MN","Coronary heart disease","Nmbr",1635,"Female",2702612.31864,0.0604970231476914
"120","Minnesota",2010,"MN","Cerebrovascular disease","Nmbr",1319,"Female",2702612.31864,0.0488046321295443
"121","Mississippi",2010,"MS","Chronic obstructive pulmonary disease","Nmbr",1375,"Female",1511534.40608,0.0909671651845434
"122","Mississippi",2010,"MS","Cardiovascular disease","Nmbr",5049,"Female",1511534.40608,0.334031430557643
"123","Mississippi",2010,"MS","Coronary heart disease","Nmbr",1627,"Female",1511534.40608,0.107638965640183
"124","Mississippi",2010,"MS","Cerebrovascular disease","Nmbr",905,"Female",1511534.40608,0.0598729341760085
"125","Mississippi",2010,"MS","Heart failure","Nmbr",2495,"Female",1511534.40608,0.165064056098499
"126","Missouri",2010,"MO","Coronary heart disease","Nmbr",4279,"Female",3051270.94176,0.140236645046403
"127","Missouri",2010,"MO","Heart failure","Nmbr",3463,"Female",3051270.94176,0.113493690534165
"128","Missouri",2010,"MO","Cerebrovascular disease","Nmbr",1805,"Female",3051270.94176,0.0591556775668981
"129","Missouri",2010,"MO","Chronic obstructive pulmonary disease","Nmbr",3153,"Female",3051270.94176,0.1033339896778
"130","Missouri",2010,"MO","Cardiovascular disease","Nmbr",9235,"Female",3051270.94176,0.302660765833963
"131","Montana",2010,"MT","Cerebrovascular disease","Nmbr",288,"Female",504118.40984,0.0571294351442962
"132","Montana",2010,"MT","Coronary heart disease","Nmbr",365,"Female",504118.40984,0.0724036244016254
"133","Montana",2010,"MT","Heart failure","Nmbr",548,"Female",504118.40984,0.108704619649564
"134","Montana",2010,"MT","Cardiovascular disease","Nmbr",1176,"Female",504118.40984,0.233278526839209
"135","Montana",2010,"MT","Chronic obstructive pulmonary disease","Nmbr",519,"Female",504118.40984,0.102952002916284
"136","Nebraska",2010,"NE","Cerebrovascular disease","Nmbr",509,"Female",931263.122,0.0546569479640578
"137","Nebraska",2010,"NE","Cardiovascular disease","Nmbr",2422,"Female",931263.122,0.260076872237619
"138","Nebraska",2010,"NE","Coronary heart disease","Nmbr",814,"Female",931263.122,0.0874081643275895
"139","Nebraska",2010,"NE","Heart failure","Nmbr",1177,"Female",931263.122,0.126387480852055
"140","Nebraska",2010,"NE","Chronic obstructive pulmonary disease","Nmbr",880,"Female",931263.122,0.0944953127865832
"141","Nevada",2010,"NV","Coronary heart disease","Nmbr",939,"Female",1375726.5472,0.0682548433706637
"142","Nevada",2010,"NV","Chronic obstructive pulmonary disease","Nmbr",945,"Female",1375726.5472,0.0686909765551408
"143","Nevada",2010,"NV","Cerebrovascular disease","Nmbr",434,"Female",1375726.5472,0.0315469670105091
"144","Nevada",2010,"NV","Heart failure","Nmbr",554,"Female",1375726.5472,0.0402696307000508
"145","Nevada",2010,"NV","Cardiovascular disease","Nmbr",2649,"Female",1375726.5472,0.192552800946633
"146","New Hampshire",2010,"NH","Coronary heart disease","Nmbr",609,"Female",670046.36704,0.0908892324407819
"147","New Hampshire",2010,"NH","Chronic obstructive pulmonary disease","Nmbr",617,"Female",670046.36704,0.0920831796649629
"148","New Hampshire",2010,"NH","Cardiovascular disease","Nmbr",1499,"Female",670046.36704,0.223715861130923
"149","New Hampshire",2010,"NH","Cerebrovascular disease","Nmbr",301,"Female",670046.36704,0.0449222643098117
"150","New Hampshire",2010,"NH","Heart failure","Nmbr",714,"Female",670046.36704,0.106559789758158
"151","New Jersey",2010,"NJ","Chronic obstructive pulmonary disease","Nmbr",3251,"Female",4480118.96328,0.0725650373716833
"152","New Jersey",2010,"NJ","Cardiovascular disease","Nmbr",12567,"Female",4480118.96328,0.280505944217147
"153","New Jersey",2010,"NJ","Heart failure","Nmbr",4239,"Female",4480118.96328,0.0946180231985744
"154","New Jersey",2010,"NJ","Cerebrovascular disease","Nmbr",2034,"Female",4480118.96328,0.0454005801334985
"155","New Jersey",2010,"NJ","Coronary heart disease","Nmbr",5927,"Female",4480118.96328,0.13229559412549
"156","New Mexico",2010,"NM","Cardiovascular disease","Nmbr",2184,"Female",1050705.40008,0.207860357416428
"157","New Mexico",2010,"NM","Heart failure","Nmbr",888,"Female",1050705.40008,0.0845146508176686
"158","New Mexico",2010,"NM","Chronic obstructive pulmonary disease","Nmbr",874,"Female",1050705.40008,0.0831822126291018
"159","New Mexico",2010,"NM","Cerebrovascular disease","Nmbr",484,"Female",1050705.40008,0.0460642916618824
"160","New Mexico",2010,"NM","Coronary heart disease","Nmbr",984,"Female",1050705.40008,0.0936513698249841
"161","New York",2010,"NY","Coronary heart disease","Nmbr",17156,"Female",9873757.9296,0.173753500159944
"162","New York",2010,"NY","Chronic obstructive pulmonary disease","Nmbr",6863,"Female",9873757.9296,0.0695074767776693
"163","New York",2010,"NY","Cardiovascular disease","Nmbr",29621,"Female",9873757.9296,0.299997227106417
"164","New York",2010,"NY","Heart failure","Nmbr",8903,"Female",9873757.9296,0.0901683033296794
"165","New York",2010,"NY","Cerebrovascular disease","Nmbr",3790,"Female",9873757.9296,0.0383845748196658
"166","North Carolina",2010,"NC","Cardiovascular disease","Nmbr",11732,"Female",4864373.23352,0.241182151056086
"167","North Carolina",2010,"NC","Heart failure","Nmbr",4499,"Female",4864373.23352,0.0924887911354696
"168","North Carolina",2010,"NC","Chronic obstructive pulmonary disease","Nmbr",4308,"Female",4864373.23352,0.088562283221072
"169","North Carolina",2010,"NC","Cerebrovascular disease","Nmbr",2633,"Female",4864373.23352,0.0541282478461194
"170","North Carolina",2010,"NC","Coronary heart disease","Nmbr",4498,"Female",4864373.23352,0.0924682335024099
"171","North Dakota",2010,"ND","Heart failure","Nmbr",544,"Female",343254.8264,0.158482840781988
"172","North Dakota",2010,"ND","Chronic obstructive pulmonary disease","Nmbr",354,"Female",343254.8264,0.103130378008867
"173","North Dakota",2010,"ND","Cardiovascular disease","Nmbr",961,"Female",343254.8264,0.279966930131416
"174","North Dakota",2010,"ND","Cerebrovascular disease","Nmbr",234,"Female",343254.8264,0.0681709278363697
"175","North Dakota",2010,"ND","Coronary heart disease","Nmbr",391,"Female",343254.8264,0.113909541812054
"176","Ohio",2010,"OH","Coronary heart disease","Nmbr",7727,"Female",5872865.00208,0.131571217749145
"177","Ohio",2010,"OH","Cerebrovascular disease","Nmbr",3490,"Female",5872865.00208,0.0594258509052046
"178","Ohio",2010,"OH","Cardiovascular disease","Nmbr",17863,"Female",5872865.00208,0.304161597340879
"179","Ohio",2010,"OH","Chronic obstructive pulmonary disease","Nmbr",6858,"Female",5872865.00208,0.116774351148393
"180","Ohio",2010,"OH","Heart failure","Nmbr",7246,"Female",5872865.00208,0.123381007352181
"181","Oklahoma",2010,"OK","Chronic obstructive pulmonary disease","Nmbr",2391,"Female",1913183.21248,0.124974962377002
"182","Oklahoma",2010,"OK","Cardiovascular disease","Nmbr",6171,"Female",1913183.21248,0.322551439911535
"183","Oklahoma",2010,"OK","Heart failure","Nmbr",2769,"Female",1913183.21248,0.144732610130455
"184","Oklahoma",2010,"OK","Cerebrovascular disease","Nmbr",1204,"Female",1913183.21248,0.0629317669184067
"185","Oklahoma",2010,"OK","Coronary heart disease","Nmbr",2811,"Female",1913183.21248,0.146927904325284
"186","Oregon",2010,"OR","Heart failure","Nmbr",2410,"Female",1953067.19136,0.123395652267438
"187","Oregon",2010,"OR","Coronary heart disease","Nmbr",1411,"Female",1953067.19136,0.0722453383192343
"188","Oregon",2010,"OR","Cardiovascular disease","Nmbr",4424,"Female",1953067.19136,0.226515504411263
"189","Oregon",2010,"OR","Cerebrovascular disease","Nmbr",1026,"Female",1953067.19136,0.0525327548657225
"190","Oregon",2010,"OR","Chronic obstructive pulmonary disease","Nmbr",1880,"Female",1953067.19136,0.0962588490716942
"191","Pennsylvania",2010,"PA","Chronic obstructive pulmonary disease","Nmbr",5958,"Female",6468889.68432,0.0921023589943364
"192","Pennsylvania",2010,"PA","Heart failure","Nmbr",8124,"Female",6468889.68432,0.125585693935883
"193","Pennsylvania",2010,"PA","Coronary heart disease","Nmbr",9310,"Female",6468889.68432,0.143919597555769
"194","Pennsylvania",2010,"PA","Cerebrovascular disease","Nmbr",4100,"Female",6468889.68432,0.0633802738967404
"195","Pennsylvania",2010,"PA","Cardiovascular disease","Nmbr",21470,"Female",6468889.68432,0.331896214771467
"196","Rhode Island",2010,"RI","Heart failure","Nmbr",726,"Female",535962.08472,0.135457343102783
"197","Rhode Island",2010,"RI","Chronic obstructive pulmonary disease","Nmbr",572,"Female",535962.08472,0.106723967293102
"198","Rhode Island",2010,"RI","Coronary heart disease","Nmbr",878,"Female",535962.08472,0.163817558187663
"199","Rhode Island",2010,"RI","Cerebrovascular disease","Nmbr",265,"Female",535962.08472,0.0494437960361399
"200","Rhode Island",2010,"RI","Cardiovascular disease","Nmbr",1589,"Female",535962.08472,0.296476195854439
"201","South Carolina",2010,"SC","Cerebrovascular disease","Nmbr",1306,"Female",2359113.73872,0.0553597725520689
"202","South Carolina",2010,"SC","Cardiovascular disease","Nmbr",6005,"Female",2359113.73872,0.25454474286001
"203","South Carolina",2010,"SC","Heart failure","Nmbr",2414,"Female",2359113.73872,0.102326562741726
"204","South Carolina",2010,"SC","Coronary heart disease","Nmbr",2192,"Female",2359113.73872,0.0929162491838706
"205","South Carolina",2010,"SC","Chronic obstructive pulmonary disease","Nmbr",2026,"Female",2359113.73872,0.085879708415384
"206","South Dakota",2010,"SD","Coronary heart disease","Nmbr",542,"Female",415398.23512,0.130477203362077
"207","South Dakota",2010,"SD","Cardiovascular disease","Nmbr",1157,"Female",415398.23512,0.278527904593953
"208","South Dakota",2010,"SD","Chronic obstructive pulmonary disease","Nmbr",363,"Female",415398.23512,0.087386023653937
"209","South Dakota",2010,"SD","Cerebrovascular disease","Nmbr",259,"Female",415398.23512,0.0623498075106603
"210","South Dakota",2010,"SD","Heart failure","Nmbr",540,"Female",415398.23512,0.129995737667014
"211","Tennessee",2010,"TN","Cerebrovascular disease","Nmbr",1929,"Female",3234738.9748,0.0596338689157838
"212","Tennessee",2010,"TN","Coronary heart disease","Nmbr",4657,"Female",3234738.9748,0.143968339834528
"213","Tennessee",2010,"TN","Chronic obstructive pulmonary disease","Nmbr",3515,"Female",3234738.9748,0.108664100175728
"214","Tennessee",2010,"TN","Heart failure","Nmbr",3561,"Female",3234738.9748,0.11008616236864
"215","Tennessee",2010,"TN","Cardiovascular disease","Nmbr",9619,"Female",3234738.9748,0.297365570295969
"216","Texas",2010,"TX","Coronary heart disease","Nmbr",10242,"Female",12846351.44344,0.0797269173671104
"217","Texas",2010,"TX","Chronic obstructive pulmonary disease","Nmbr",8306,"Female",12846351.44344,0.0646564904951395
"218","Texas",2010,"TX","Cardiovascular disease","Nmbr",25202,"Female",12846351.44344,0.196180215923249
"219","Texas",2010,"TX","Cerebrovascular disease","Nmbr",5350,"Female",12846351.44344,0.041646065994341
"220","Texas",2010,"TX","Heart failure","Nmbr",10490,"Female",12846351.44344,0.0816574265945116
"221","Utah",2010,"UT","Heart failure","Nmbr",927,"Female",1412358.78288,0.0656348805442846
"222","Utah",2010,"UT","Cerebrovascular disease","Nmbr",415,"Female",1412358.78288,0.0293834686363302
"223","Utah",2010,"UT","Cardiovascular disease","Nmbr",1938,"Female",1412358.78288,0.137217258354718
"224","Utah",2010,"UT","Chronic obstructive pulmonary disease","Nmbr",405,"Female",1412358.78288,0.028675433247503
"225","Utah",2010,"UT","Coronary heart disease","Nmbr",557,"Female",1412358.78288,0.0394375711576769
"226","Vermont",2010,"VT","Cardiovascular disease","Nmbr",759,"Female",318550.73792,0.238266596070675
"227","Vermont",2010,"VT","Chronic obstructive pulmonary disease","Nmbr",391,"Female",318550.73792,0.122743397975802
"228","Vermont",2010,"VT","Cerebrovascular disease","Nmbr",147,"Female",318550.73792,0.0461464948911583
"229","Vermont",2010,"VT","Coronary heart disease","Nmbr",323,"Female",318550.73792,0.101396720066967
"230","Vermont",2010,"VT","Heart failure","Nmbr",369,"Female",318550.73792,0.115837119828826
"231","Virginia",2010,"VA","Coronary heart disease","Nmbr",3385,"Female",4084162.48856,0.0828811294722382
"232","Virginia",2010,"VA","Chronic obstructive pulmonary disease","Nmbr",2556,"Female",4084162.48856,0.0625832103193621
"233","Virginia",2010,"VA","Cardiovascular disease","Nmbr",9179,"Female",4084162.48856,0.224746200125753
"234","Virginia",2010,"VA","Heart failure","Nmbr",3378,"Female",4084162.48856,0.082709735703758
"235","Virginia",2010,"VA","Cerebrovascular disease","Nmbr",1985,"Female",4084162.48856,0.048602375776187
"236","Washington",2010,"WA","Coronary heart disease","Nmbr",2876,"Female",3431408.3728,0.0838139821187534
"237","Washington",2010,"WA","Cardiovascular disease","Nmbr",7029,"Female",3431408.3728,0.204843004281195
"238","Washington",2010,"WA","Heart failure","Nmbr",3446,"Female",3431408.3728,0.100425237267463
"239","Washington",2010,"WA","Chronic obstructive pulmonary disease","Nmbr",2822,"Female",3431408.3728,0.0822402842625599
"240","Washington",2010,"WA","Cerebrovascular disease","Nmbr",1510,"Female",3431408.3728,0.0440052548676348
"241","West Virginia",2010,"WV","Coronary heart disease","Nmbr",1420,"Female",943578.018,0.150491000522651
"242","West Virginia",2010,"WV","Chronic obstructive pulmonary disease","Nmbr",1437,"Female",943578.018,0.152292653345809
"243","West Virginia",2010,"WV","Heart failure","Nmbr",1483,"Female",943578.018,0.157167713926121
"244","West Virginia",2010,"WV","Cerebrovascular disease","Nmbr",692,"Female",943578.018,0.0733378678603342
"245","West Virginia",2010,"WV","Cardiovascular disease","Nmbr",3342,"Female",943578.018,0.354183749117394
"246","Wisconsin",2010,"WI","Cardiovascular disease","Nmbr",7552,"Female",2895631.01152,0.26080671086734
"247","Wisconsin",2010,"WI","Heart failure","Nmbr",3177,"Female",2895631.01152,0.109717018064822
"248","Wisconsin",2010,"WI","Chronic obstructive pulmonary disease","Nmbr",2273,"Female",2895631.01152,0.0784975706834565
"249","Wisconsin",2010,"WI","Cerebrovascular disease","Nmbr",1555,"Female",2895631.01152,0.0537015936703805
"250","Wisconsin",2010,"WI","Coronary heart disease","Nmbr",2953,"Female",2895631.01152,0.101981225793334
"251","Wyoming",2010,"WY","Cardiovascular disease","Nmbr",619,"Female",287270.90208,0.215476052575495
"252","Wyoming",2010,"WY","Heart failure","Nmbr",282,"Female",287270.90208,0.0981651806563645
"253","Wyoming",2010,"WY","Chronic obstructive pulmonary disease","Nmbr",276,"Female",287270.90208,0.0960765597913355
"254","Wyoming",2010,"WY","Coronary heart disease","Nmbr",233,"Female",287270.90208,0.0811081102586274
"255","Wyoming",2010,"WY","Cerebrovascular disease","Nmbr",133,"Female",287270.90208,0.0462977625081436
"256","Alabama",2011,"AL","Coronary heart disease","Nmbr",2436,"Female",2443187.83904,0.0997058008015125
"257","Alabama",2011,"AL","Cerebrovascular disease","Nmbr",1488,"Female",2443187.83904,0.0609040359575741
"258","Alabama",2011,"AL","Cardiovascular disease","Nmbr",7918,"Female",2443187.83904,0.324084782736608
"259","Alabama",2011,"AL","Chronic obstructive pulmonary disease","Nmbr",2296,"Female",2443187.83904,0.093975582364644
